round,client_id,num_examples,train_loss,train_time,bandwidth_mbps,latency_ms,network_score,training_score,final_score,loss_change,bit_width,upload_comm_bytes,download_comm_bytes,total_comm_bytes,communication_reduction,estimated_upload_time,estimated_total_time
1,2,11263,0.10046747483631241,12.618312358856201,3.759295292683012,128.99613309115946,0.43415453739665133,1.0,0.6604927224379908,1.0,8,225066,900136,1125202,74.99644498164722,0.6079497293953652,13.226262088251566
1,1,12089,0.1569893137137923,13.357630252838135,6.3899529038799106,54.10383629236242,0.6931928669792313,1.0,0.8159157201875389,1.0,8,225066,900136,1125202,74.99644498164722,0.3358786830062934,13.693508935844427
1,0,12665,0.06140207427682007,13.662094831466675,7.403092732337203,52.371686846861635,0.7658448044167425,1.0,0.8595068826500455,1.0,8,225066,900136,1125202,74.99644498164722,0.2955846338001226,13.957679465266798
1,3,12183,0.07288732588547274,13.479458808898926,1.4410222168101021,204.41208179726615,0.196459473379441,1.0,0.5178756840276646,1.0,8,225066,900136,1125202,74.99644498164722,1.453891776833275,14.933350585732201
1,4,11800,0.16659112940668255,13.231397867202759,4.446111331208783,58.46548407786439,0.5527623091067504,1.0,0.7316573854640502,1.0,8,225066,900136,1125202,74.99644498164722,0.46343240142909564,13.694830268631854
2,3,12183,0.025661085789365094,15.736563682556152,1.2321528586280965,223.34758240110318,0.1629031177028636,0.37780992076886116,0.24886583892926262,0.047226240096107645,8,225066,900136,1125202,74.99644498164722,1.6846338078818799,17.421197490438033
2,4,11800,0.09167633761047712,15.60779857635498,9.14721692806415,214.1293293104367,0.7261758556540538,0.5993183343696434,0.6754328471402897,0.07491479179620543,8,225066,900136,1125202,74.99644498164722,0.41096821639049314,16.018766792745474
2,1,12089,0.0752634952736713,15.718113660812378,5.562845221065727,79.48751407080312,0.6099116514037978,0.653806547520968,0.6274696098506658,0.081725818440121,8,225066,900136,1125202,74.99644498164722,0.40315785333921367,16.12127151415159
2,2,11263,0.03358170230058022,14.851282835006714,4.182473421106044,140.02267499183608,0.452750464485587,0.5350861802858575,0.4856847508056952,0.06688577253573219,8,225066,900136,1125202,74.99644498164722,0.5705162654385758,15.42179910044529
2,0,12665,0.01885230234137168,15.932452917098999,9.868102815667747,57.39137435296747,0.9333758227437747,0.3403981754835871,0.6961847638396997,0.042549771935448386,8,225066,900136,1125202,74.99644498164722,0.2398507623055608,16.17230367940456
3,4,11800,0.0594615878386272,13.566210269927979,9.766542620806986,87.59698024587402,0.896061003210615,0.2577179981747994,0.6407238011962888,0.032214749771849925,8,225066,900136,1125202,74.99644498164722,0.27195372448042965,13.838163994408408
3,2,11263,0.03534585637573235,13.089819431304932,2.338291169250707,177.19454381354936,0.28648583803400013,0.014113232601217052,0.17753679586088691,0.0017641540751521315,4,112549,900136,1012685,87.49644498164722,0.5622586503886624,13.652078081693594
3,0,12665,0.01072597362804462,13.974822044372559,7.713893881275674,37.21146126479759,0.8027611104244996,0.06501062970661647,0.5076609181373463,0.00812632871332706,6,168807,900136,1068943,81.24650052880898,0.21227946463440972,14.187101509006968
3,1,12089,0.06188110530064762,13.685373067855835,5.49202426281941,75.19933198021798,0.6092423664171407,0.10705911978418942,0.40836906776396015,0.013382389973023677,6,168807,900136,1068943,81.24650052880898,0.3210933658326329,14.006466433688468
3,3,12183,0.008439113386188449,13.683377265930176,2.0229351939707536,232.88307491545766,0.20872238866249507,0.13777577922541318,0.1803437448876623,0.017221972403176647,4,112549,900136,1012685,87.49644498164722,0.6779749407762962,14.361352206706473
4,3,12183,0.01450001232324545,13.875637769699097,1.888231316667402,180.6470725692945,0.25152911959742363,0.048487191496456014,0.1703123483570366,0.006060898937057002,4,112549,900136,1012685,87.49644498164722,0.6574911922765821,14.53312896197568
4,2,11263,0.016477968002453217,13.067475080490112,3.573636561747542,163.1712291253502,0.3869833301969777,0.15094310698623306,0.2925672409126799,0.018867888373279133,6,168807,900136,1068943,81.24650052880898,0.5410652809311148,13.608540361421227
4,0,12665,0.010342397481398428,13.989812850952148,7.708144269212304,15.15830171153579,0.8244117971333254,0.003068609173169534,0.495874521949263,0.0003835761466461918,6,168807,900136,1068943,81.24650052880898,0.19035689074079942,14.180169741692948
4,1,12089,0.047385290850855646,13.7989022731781,5.2633747184203,118.32751341397143,0.5501087168754495,0.11596651559833576,0.376451836364604,0.01449581444979197,6,168807,900136,1068943,81.24650052880898,0.37490358337794183,14.173805856556042
4,4,11800,0.05057853260077536,13.65803337097168,5.01856255577993,119.38768550722405,0.531911693397371,0.07106444190281469,0.3475727927995485,0.008883055237851836,6,168807,900136,1068943,81.24650052880898,0.38847987774156534,14.046513248713245
5,2,11263,0.015392607565879436,13.23665165901184,3.3511129918748646,106.1121562043972,0.42846575322684327,0.008682883492590249,0.260552605333142,0.001085360436573781,6,168807,900136,1068943,81.24650052880898,0.5090994631899648,13.745751122201806
5,3,12183,0.005666620798804005,13.940749406814575,2.4031707118105228,241.32524668995612,0.22689670313678045,0.07066713219553156,0.1644048747602809,0.008833391524441445,4,112549,900136,1012685,87.49644498164722,0.6159935944585815,14.556743001273157
5,1,12089,0.040423804165416015,13.813190698623657,5.449331189458029,113.15280994728028,0.5683003733147818,0.05569189348351705,0.3632569813822759,0.0069614866854396315,6,168807,900136,1068943,81.24650052880898,0.3609733136106503,14.174164012234307
5,4,11800,0.03889803366194404,13.702863693237305,9.289491430289747,229.5836337291897,0.7206807663910925,0.09344399151065058,0.4697860564389157,0.011680498938831323,6,168807,900136,1068943,81.24650052880898,0.37495822286941327,14.077821916106718
5,0,12665,0.008375488967318037,14.128121852874756,8.868705084669106,47.08934946303647,0.8737200064638009,0.015735268112643128,0.5305261111233378,0.001966908514080391,6,168807,900136,1068943,81.24650052880898,0.19936141027769438,14.32748326315245
6,2,11263,0.010741960652198528,14.963926792144775,3.6645649088911214,105.6973657900137,0.4508221778323648,0.037205175309447266,0.28537537682319775,0.004650646913680908,6,168807,900136,1068943,81.24650052880898,0.47421478424901464,15.43814157639379
6,1,12089,0.03127199324850663,15.851626634597778,5.039859869834281,66.00487672583152,0.5867853141625681,0.07321448733527508,0.38135698343165086,0.009151810916909385,6,168807,900136,1068943,81.24650052880898,0.3339599458901663,16.185586580487943
6,3,12183,0.006461663805706067,15.836105823516846,2.3590282422188453,230.57107309502044,0.2345609038602987,0.006360344055216495,0.14328067993826582,0.0007950430069020619,4,112549,900136,1012685,87.49644498164722,0.6122502678947881,16.448356091411632
6,0,12665,0.007037999128669406,16.734035968780518,9.38002025128499,51.09770211598634,0.9055037154739629,0.010699918709189044,0.5475821967680534,0.0013374898386486304,6,168807,900136,1068943,81.24650052880898,0.19506924629415567,16.929105215074674
6,4,11800,0.03646036277090929,15.64739990234375,5.265122627037781,246.02142953849912,0.4225371543541455,0.01950136712827799,0.26132283946379853,0.002437670891034749,6,168807,900136,1068943,81.24650052880898,0.5025123217097575,16.14991222405351
7,1,12089,0.03024428687797534,13.894084453582764,6.567818165545654,106.03387585816148,0.6537133957300343,0.008221650964250315,0.3955166978237207,0.0010277063705312894,6,168807,900136,1068943,81.24650052880898,0.31165101780103743,14.2057354713838
7,4,11800,0.029766188064162192,13.731467723846436,2.2784738663723565,55.00533882291815,0.40448783182314674,0.05355339765397679,0.2641140581554787,0.006694174706747099,6,168807,900136,1068943,81.24650052880898,0.6477073311218737,14.379175054968309
7,2,11263,0.011645933374234635,13.19645619392395,2.6080328846768457,152.92546317070153,0.32963683875667765,0.007231781776288859,0.20067481596452214,0.0009039727220361074,6,168807,900136,1068943,81.24650052880898,0.6707318175055823,13.867188011429533
7,0,12665,0.005250466636854609,14.130573987960815,7.971498294499487,17.542458696225097,0.8404624219187391,0.014300259934518382,0.5099975571250508,0.0017875324918147978,6,168807,900136,1068943,81.24650052880898,0.18695301993686975,14.317527007897684
7,3,12183,0.003927309985695109,13.944166421890259,2.2706945282086908,197.80918010726265,0.2611394368673457,0.020274830560087664,0.16479359434444246,0.002534353820010958,4,112549,900136,1012685,87.49644498164722,0.594336316987406,14.538502738877664
8,1,12089,0.024899153789091442,16.11210823059082,5.559471479705669,117.08792121080356,0.5720750823685932,0.04276106471107119,0.36034947530558437,0.005345133088883899,6,168807,900136,1068943,81.24650052880898,0.35999878152004583,16.472107012110865
8,4,11800,0.030773234115819118,15.809115886688232,5.464945711660031,219.1787603110204,0.4633674395051817,0.00805636841325541,0.28124301106841115,0.0010070460516569263,6,168807,900136,1068943,81.24650052880898,0.4662911876346188,16.27540707432285
8,3,12183,0.002482441378505141,16.09949254989624,1.376217249576679,162.3566947572222,0.2339785127131453,0.011558948857519746,0.14501068717089508,0.0014448686071899682,4,112549,900136,1012685,87.49644498164722,0.8166080495320285,16.91610059942827
8,2,11263,0.011081369246581247,15.153940916061401,4.6700535150599745,143.51203374529658,0.48339171230890166,0.004516513021227103,0.29184163259383183,0.0005645641276533879,6,168807,900136,1068943,81.24650052880898,0.4326855936724053,15.586626509733806
8,0,12665,0.0060436435990048895,16.952699184417725,7.680117578143147,58.114751791719144,0.779493478678301,0.006345415697202247,0.47023425348586145,0.0007931769621502809,6,168807,900136,1068943,81.24650052880898,0.23395268477379533,17.186651869191518
