round,client_id,num_examples,train_loss,train_time,bandwidth_mbps,latency_ms,network_score,loss_change,bit_width,upload_comm_bytes,download_comm_bytes,total_comm_bytes,communication_reduction,estimated_upload_time,estimated_total_time
5,3,12000,0.0636660211417388,14.463136672973633,2.4031707118105228,241.32524668995612,0.22689670313678045,0.01152900888886739,4,112549,900136,1012685,87.49644498164722,0.6159935944585815,15.079130267432214
5,4,12000,0.05769623401005099,14.43921160697937,9.289491430289747,229.5836337291897,0.7206807663910925,0.011079026518657081,6,168807,900136,1068943,81.24650052880898,0.37495822286941327,14.814169829848783
5,2,12000,0.06114333261428599,14.381404399871826,3.3511129918748646,106.1121562043972,0.42846575322684327,0.012410800859450982,4,112549,900136,1012685,87.49644498164722,0.37479662079365383,14.75620102066548
5,0,12000,0.06332144593235423,14.481589078903198,8.868705084669106,47.08934946303647,0.8737200064638009,0.011677827547363781,6,168807,900136,1068943,81.24650052880898,0.19936141027769438,14.680950489180892
6,0,12000,0.05442008158276254,14.517857789993286,9.38002025128499,51.09770211598634,0.9055037154739629,0.008901364349591684,6,168807,900136,1068943,81.24650052880898,0.19506924629415567,14.712927036287441
6,1,12000,0.044794849037103596,14.51885437965393,5.039859869834281,66.00487672583152,0.5867853141625681,0.009438594681844902,6,168807,900136,1068943,81.24650052880898,0.3339599458901663,14.852814325544097
6,2,12000,0.0536810776232395,14.547759532928467,3.6645649088911214,105.6973657900137,0.4508221778323648,0.007462254991046489,4,112549,900136,1012685,87.49644498164722,0.3513996585275311,14.899159191455999
6,4,12000,0.05029065573360137,14.563703775405884,5.265122627037781,246.02142953849912,0.4225371543541455,0.007405578276449616,4,112549,900136,1012685,87.49644498164722,0.4170320714134389,14.980735846819323
6,3,12000,0.05745007283861769,14.57167911529541,2.3590282422188453,230.57107309502044,0.2345609038602987,0.006215948303121117,4,112549,900136,1012685,87.49644498164722,0.6122502678947881,15.183929383190199
7,4,12000,0.044934144621328546,14.514485359191895,2.2784738663723565,55.00533882291815,0.40448783182314674,0.005356511112272824,4,112549,900136,1012685,87.49644498164722,0.4501786226989135,14.964663981890808
7,2,12000,0.04907032776069134,14.526445865631104,2.6080328846768457,152.92546317070153,0.32963683875667765,0.004610749862548162,4,112549,900136,1012685,87.49644498164722,0.49816344129978674,15.02460930693089
7,1,12000,0.03885123066163245,14.564826011657715,6.567818165545654,106.03387585816148,0.6537133957300343,0.005943618375471145,6,168807,900136,1068943,81.24650052880898,0.31165101780103743,14.876477029458751
7,3,12000,0.04895399951380975,14.542394161224365,2.2706945282086908,197.80918010726265,0.2611394368673457,0.008496073324807937,4,112549,900136,1012685,87.49644498164722,0.594336316987406,15.13673047821177
7,0,12000,0.04906092179651828,14.510498046875,7.971498294499487,17.542458696225097,0.8404624219187391,0.005359159786244259,6,168807,900136,1068943,81.24650052880898,0.18695301993686975,14.697451066811869
8,0,12000,0.04166214732639616,14.500109672546387,7.680117578143147,58.114751791719144,0.779493478678301,0.007398774470122126,6,168807,900136,1068943,81.24650052880898,0.23395268477379533,14.734062357320182
8,2,12000,0.04017047000556015,14.513065814971924,4.6700535150599745,143.51203374529658,0.48339171230890166,0.00889985775513119,4,112549,900136,1012685,87.49644498164722,0.33631325049718575,14.84937906546911
8,1,12000,0.038471918402950556,14.468637704849243,5.559471479705669,117.08792121080356,0.5720750823685932,0.00037931225868189505,4,112549,900136,1012685,87.49644498164722,0.2790443235930798,14.747682028442323
8,3,12000,0.047178362152524335,14.53108286857605,1.376217249576679,162.3566947572222,0.2339785127131453,0.0017756373612854148,4,112549,900136,1012685,87.49644498164722,0.8166080495320285,15.347690918108079
8,4,12000,0.04112674266612652,14.449224472045898,5.464945711660031,219.1787603110204,0.4633674395051817,0.0038074019552020236,4,112549,900136,1012685,87.49644498164722,0.38393648115697865,14.833160953202878
9,0,12000,0.04176695611726671,25.160984754562378,8.389022073445064,28.6655965697521,0.8585659485714023,0.00010480879087055445,6,168807,900136,1068943,81.24650052880898,0.1896445507525985,25.350629305314975
9,1,12000,0.030708470131162843,25.16297674179077,4.540577255455455,84.11535911019286,0.5337250487716889,0.007763448271787713,4,112549,900136,1012685,87.49644498164722,0.28241437470742525,25.445391116498197
9,2,12000,0.0415535560788022,25.223293781280518,2.8166435427110468,171.47012457480713,0.32569492341496614,0.00138308607324205,4,112549,900136,1012685,87.49644498164722,0.4911385477695164,25.714432329050034
9,4,12000,0.03637301382572177,25.080634593963623,4.686162697094495,20.019254941521947,0.6080121338550927,0.0047537288404047515,6,168807,900136,1068943,81.24650052880898,0.30819875004042385,25.38883334400405
9,3,12000,0.04352380785155432,25.16497015953064,1.815573736046612,194.08068393722428,0.23300947758603857,0.003654554300970017,4,112549,900136,1012685,87.49644498164722,0.6900076640006128,25.854977823531254
10,0,12000,0.038458767772758716,15.755692958831787,8.71420778406974,31.444452733755732,0.878550092151126,0.003308188344507995,6,168807,900136,1068943,81.24650052880898,0.18641619927263675,15.942109158104424
10,1,12000,0.031065471985710517,15.73176646232605,6.013016431122593,109.95874716034527,0.6109524030182363,0.00035700185454767483,6,168807,900136,1068943,81.24650052880898,0.3345475231048471,16.066313985430895
10,4,12000,0.0341162267749438,15.770152568817139,7.542879888592607,261.89752841626444,0.5661040637852179,0.0022567870507779683,4,112549,900136,1012685,87.49644498164722,0.3812673199678571,16.151419888784996
10,2,12000,0.0385480327218984,15.736753702163696,2.4174703186391238,138.93220094089898,0.33029072136383963,0.003005523356903801,4,112549,900136,1012685,87.49644498164722,0.5113843436033418,16.24813804576704
10,3,12000,0.0378336072041767,15.754693031311035,2.2223547114696056,215.70157048183358,0.2398632593210388,0.005690200647377616,4,112549,900136,1012685,87.49644498164722,0.620853815239641,16.375546846550677
