round,method,num_clients,total_examples,accuracy,test_loss,avg_train_loss,avg_train_time,upload_comm_bytes,download_comm_bytes,total_comm_bytes,avg_reduction,upload_comm_kb,download_comm_kb,total_comm_kb
1,fixed_int8,5,60000,0.3433,1.9361051321029663,0.11197472501487406,25.443801280331613,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
2,fixed_int8,5,60000,0.6485,1.415215253829956,0.052776170071677724,26.263847969039283,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
3,fixed_int8,5,60000,0.6554,1.1484626531600952,0.034123455951565775,27.85161422591607,1125330,4500680,5626010,74.9964449816472,1098.955078125,4395.1953125,5494.150390625
4,fixed_int8,5,60000,0.7571,0.8546018600463867,0.02591138584040748,26.283213330229124,1125330,4500680,5626010,74.9964449816472,1098.955078125,4395.1953125,5494.150390625
5,fixed_int8,5,60000,0.7376,0.7931346297264099,0.0212417564516182,27.977960250620047,1125330,4500680,5626010,74.9964449816472,1098.955078125,4395.1953125,5494.150390625
6,fixed_int8,5,60000,0.7912,0.6935322880744934,0.018786320621699718,24.369135948693753,1125330,4500680,5626010,74.9964449816472,1098.955078125,4395.1953125,5494.150390625
7,fixed_int8,5,60000,0.7943,0.6755478978157043,0.018269614266576948,23.467960206747055,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
8,fixed_int8,5,60000,0.8307,0.5640527009963989,0.01508618766862101,23.430906980590027,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
9,fixed_int8,5,60000,0.8111,0.594633162021637,0.014179530140692167,22.54295464367072,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
10,fixed_int8,5,60000,0.835,0.5092301368713379,0.013649243881519897,23.28254277458191,1125330,4500680,5626010,74.99644498164722,1098.955078125,4395.1953125,5494.150390625
