round,method,num_clients,total_examples,accuracy,test_loss,avg_train_loss,avg_train_time,avg_bit_width,avg_network_score,avg_training_score,avg_final_score,avg_loss_change,avg_bandwidth_mbps,avg_latency_ms,upload_comm_bytes,download_comm_bytes,total_comm_bytes,avg_reduction,avg_estimated_upload_time,avg_estimated_total_time,upload_comm_kb,download_comm_kb,total_comm_kb
1,adaptive_noniid,5,60000,0.3029,2.023751735687256,0.11101379785908194,13.28302694611152,8.0,0.531422943053164,1.0,0.7188537658318984,1.0,4.722822339453414,99.17462070857489,1125330,4500680,5626010,74.99644498164722,0.6305436740357457,13.913570620147265,1098.955078125,4395.1953125,5494.150390625
2,adaptive_noniid,5,60000,0.3795,1.714582920074463,0.048687755141729745,15.582689489281178,8.0,0.5807879835010566,0.4986083417388175,0.5479161267961612,0.06232604271735219,6.038073903460601,141.87718974118525,1125330,4500680,5626010,74.99644498164722,0.6618421421014187,16.244531631382596,1098.955078125,4395.1953125,5494.150390625
3,adaptive_noniid,5,60000,0.5732,1.2880780696868896,0.03477476622030538,13.610834981334209,5.6118,0.5645862520646746,0.11660248933097855,0.38539274697119624,0.01457531116637232,5.505272385875318,120.78281494659763,787778,4500680,5288458,82.45959289855459,0.4061959825136615,14.017030963847871,769.314453125,4395.1953125,5164.509765625
4,adaptive_noniid,5,60000,0.6842,0.967094361782074,0.027714982227213067,13.68977616491715,5.5939,0.5131828363858971,0.07616892041144921,0.33837726999611795,0.009521115051431151,4.728763550411359,117.83061214289799,787777,4500680,5288457,82.5155517499578,0.42718959087785635,14.11696575579501,769.3134765625,4395.1953125,5164.5087890625
5,adaptive_noniid,5,60000,0.7669,0.7641194462776184,0.021602651895734435,13.775644581019879,5.5939,0.5671662075198443,0.048898642651829076,0.3598591815726382,0.0061123303314786345,5.913942132226426,146.80974173600546,787777,4500680,5288457,82.51555174995777,0.4091977149077116,14.18484229592759,769.3134765625,4395.1953125,5164.5087890625
6,adaptive_noniid,5,60000,0.8005,0.7018120884895325,0.01828541365021922,15.827936391429107,5.5939,0.5247176053570648,0.02912084168494512,0.32647889988821693,0.00364010521061814,5.197788418196495,139.12758391668987,787777,4500680,5288457,82.5155517499578,0.42062608858526157,16.248562480014364,769.3134765625,4395.1953125,5164.5087890625
7,adaptive_noniid,5,60000,0.7944,0.6483698487281799,0.016039598805507493,13.79123485480547,5.5939,0.5035719284060947,0.020681570695905215,0.31041578532201886,0.002585196336988152,4.404691952393217,104.75650826143051,787777,4500680,5288457,82.5155517499578,0.47622512448930415,14.267459979294772,769.3134765625,4395.1953125,5164.5087890625
8,adaptive_noniid,5,60000,0.8388,0.5599485039710999,0.01492876373404936,16.047528888436158,5.5939,0.5091806240082526,0.014734341807714399,0.3114021111280373,0.0018417927259642998,4.972146112244106,138.86960384883469,787777,4500680,5288457,82.51555174995777,0.4606557624254243,16.508184650861583,769.3134765625,4395.1953125,5164.5087890625
9,adaptive_noniid,5,60000,0.8110000000000002,0.5851886868476868,0.013784845389062774,320.82050931297937,5.5939,0.5167923236766888,0.010169664476207698,0.31414325999649634,0.0012712080595259623,4.504628564581803,98.53167584403744,787777,4500680,5288457,82.51555174995777,0.43981182577475786,321.26032113875414,769.3134765625,4395.1953125,5164.5087890625
10,adaptive_noniid,5,60000,0.8567,0.49772706627845764,0.012653451985723064,16.131243411135674,5.218466666666667,0.5305831158812697,0.009637293494303789,0.32220478692648336,0.0012046616867879736,5.439428259252396,150.1768622663979,731519,4500680,5232199,83.68877048949639,0.41553199516782074,16.546775406303492,714.3740234375,4395.1953125,5109.5693359375
