round,accuracy,loss,avg_train_loss,avg_train_time,upload_comm_kb,download_comm_kb,total_comm_kb
1,0.2322,2.6580286846039405,0.1275223284744826,16.5942387688756,4395.1953125,4395.1953125,8790.390625
2,0.3794,1.6184496712532774,0.06002927844817006,16.09238782091538,4395.1953125,4395.1953125,8790.390625
3,0.4252,1.458998961053836,0.03285334058994567,17.168517375179132,4395.1953125,4395.1953125,8790.390625
4,0.7010999999999998,0.9492776629271781,0.02787949066602927,18.284987670059998,4395.1953125,4395.1953125,8790.390625
5,0.6751,0.9165064988622239,0.021421444986503203,16.545380388629436,4395.1953125,4395.1953125,8790.390625
6,0.7405000000000002,0.7745044142197651,0.019241847823680575,16.346399666921297,4395.1953125,4395.1953125,8790.390625
7,0.7582,0.7070763777395722,0.01660474924001674,17.39736070058346,4395.1953125,4395.1953125,8790.390625
8,0.7906,0.6496654373065681,0.016179220757336205,18.864303136873247,4395.1953125,4395.1953125,8790.390625
9,0.7372,0.7349144491800077,0.013651677215956918,17.6469568571647,4395.1953125,4395.1953125,8790.390625
10,0.7695999999999998,0.6741185391404826,0.01285530567389099,18.414145178329946,4395.1953125,4395.1953125,8790.390625
